start_frame,end_frame,num_vehicles,scenario
1780,1830,58,Cut-In
1781,1831,58,Cut-In
1782,1832,57,Cut-In
1783,1833,57,Cut-In
1784,1834,57,Cut-In
1785,1835,57,Cut-In
1786,1836,57,Cut-In
1787,1837,57,Cut-In
1788,1838,56,Cut-In
1789,1839,56,Cut-In
1790,1840,56,Cut-In
1791,1841,56,Cut-In
1792,1842,56,Cut-In
1793,1843,56,Cut-In
1794,1844,56,Cut-In
1795,1845,56,Cut-In
1796,1846,56,Cut-In
1797,1847,57,Cut-In
1798,1848,57,Cut-In
1799,1849,57,Cut-In
1800,1850,58,Cut-In
1801,1851,58,Cut-In
1802,1852,57,Cut-In
1803,1853,58,Cut-In
1804,1854,58,Cut-In
1805,1855,58,Cut-In
1806,1856,58,Cut-In
1807,1857,58,Cut-In
1808,1858,58,Cut-In
1809,1859,58,Cut-In
1810,1860,58,Cut-In
1811,1861,58,Cut-In
1812,1862,58,Cut-In
1813,1863,59,Cut-In
1814,1864,59,Cut-In
1815,1865,59,Cut-In
1816,1866,59,Cut-In
1817,1867,59,Cut-In
1818,1868,59,Cut-In
1819,1869,59,Cut-In
1820,1870,58,Cut-In
1821,1871,58,Cut-In
1822,1872,58,Cut-In
1823,1873,58,Cut-In
1824,1874,58,Cut-In
1825,1875,57,Cut-In
1826,1876,57,Cut-In
1827,1877,59,Cut-In
1828,1878,59,Cut-In
1829,1879,59,Cut-In
1830,1880,59,Cut-In
1831,1881,59,Cut-In
1832,1882,59,Cut-In
1833,1883,59,Cut-In
1834,1884,59,Cut-In
1835,1885,59,Cut-In
1836,1886,59,Cut-In
1837,1887,59,Cut-In
1838,1888,58,Cut-In
1839,1889,58,Cut-In
1840,1890,58,Cut-In
1841,1891,58,Cut-In
1842,1892,58,Cut-In
1843,1893,58,Cut-In
1844,1894,57,Cut-In
1845,1895,57,Cut-In
1846,1896,57,Cut-In
1847,1897,57,Cut-In
1848,1898,57,Cut-In
1849,1899,58,Cut-In
1850,1900,59,Cut-In
1851,1901,59,Cut-In
1852,1902,58,Cut-In
1853,1903,57,Cut-In
1854,1904,57,Cut-In
1855,1905,57,Cut-In
1856,1906,57,Cut-In
1857,1907,57,Cut-In
1858,1908,57,Cut-In
1859,1909,57,Cut-In
1860,1910,57,Cut-In
1861,1911,57,Cut-In
1862,1912,57,Cut-In
1863,1913,57,Cut-In
1864,1914,57,Cut-In
1865,1915,55,Cut-In
1866,1916,55,Cut-In
1867,1917,55,Cut-In
1868,1918,56,Cut-In
1869,1919,56,Cut-In
1870,1920,56,Cut-In
1871,1921,56,Cut-In
1872,1922,56,Cut-In
1873,1923,57,Cut-In
1874,1924,57,Cut-In
1875,1925,57,Cut-In
1876,1926,56,Cut-In
1877,1927,56,Cut-In
1878,1928,57,Cut-In
1879,1929,58,Cut-In
1880,1930,58,Cut-In
1881,1931,58,Cut-In
1882,1932,58,Cut-In
1883,1933,58,Cut-In
1884,1934,58,Cut-In
1885,1935,58,Cut-In
1886,1936,58,Cut-In
1887,1937,58,Cut-In
1888,1938,58,Car Following
